Date;D.S.T;Total;Year;Month
2010-01;2,02;2,02;2010;janv
2010-02;2,02;2,02;2010;fev
2010-03;2,21;2,21;2010;mars
2010-04;1,75;1,75;2010;avril
2010-05;2,73;2,73;2010;mai
2010-06;2,42;2,42;2010;juin
2010-07;2,34;2,34;2010;juill
2010-08;2,43;2,43;2010;aout
2010-09;2,28;2,28;2010;sept
2010-10;2,64;2,64;2010;oct
2010-11;2,45;2,45;2010;nov
2010-12;2,46;2,46;2010;dec
2011-01;1,52;1,52;2011;janv
2011-02;2,23;2,23;2011;fev
2011-03;1,84;1,84;2011;mars
2011-04;2,26;2,26;2011;avril
2011-05;2,69;2,69;2011;mai
2011-06;2,42;2,42;2011;juin
2011-07;2,48;2,48;2011;juill
2011-08;2,47;2,47;2011;aout
2011-09;2,38;2,38;2011;sept
2011-10;2,19;2,19;2011;oct
2011-11;2,34;2,34;2011;nov
2011-12;2,13;2,13;2011;dec
2012-01;2,06;2,06;2012;janv
2012-02;1,13;1,13;2012;fev
2012-03;1,48;1,48;2012;mars
2012-04;1,45;1,45;2012;avril
2012-05;0,39;0,39;2012;mai
2012-06;1,15;1,15;2012;juin
2012-07;2,41;2,41;2012;juill
2012-08;1,48;1,48;2012;aout
2012-09;0,51;0,51;2012;sept
2012-10;1,81;1,81;2012;oct
2012-11;2,16;2,16;2012;nov
2012-12;2,03;2,03;2012;dec
2013-01;1,757;1,757;2013;janv
2013-02;1,692;1,692;2013;fev
2013-03;2,027;2,027;2013;mars
2013-04;1,984;1,984;2013;avril
2013-05;2,003;2,003;2013;mai
2013-06;1,882;1,882;2013;juin
2013-07;1,933;1,933;2013;juill
2013-08;1,827;1,827;2013;aout
2013-09;1,681;1,681;2013;sept
2013-10;1,94;1,94;2013;oct
2013-11;1,831;1,831;2013;nov
2013-12;2,137;2,137;2013;dec
2014-01;1,74;1,74;2014;janv
2014-02;1,73;1,73;2014;fev
2014-03;1,92;1,92;2014;mars
2014-04;2,06;2,06;2014;avril
2014-05;2,03;2,03;2014;mai
2014-06;2,01;2,01;2014;juin
2014-07;2,04;2,04;2014;juill
2014-08;2,16;2,16;2014;aout
2014-09;1,87;1,87;2014;sept
2014-10;1,75;1,75;2014;oct
2014-11;1,95;1,95;2014;nov
2014-12;1,79;1,79;2014;dec
2015-01;1,77;1,77;2015;janv
2015-02;1,66;1,66;2015;fev
2015-03;1,73;1,73;2015;mars
2015-04;1,80;1,80;2015;avril
2015-05;1,68;1,68;2015;mai
2015-06;1,67;1,67;2015;juin
2015-07;1,72;1,72;2015;juill
2015-08;1,65;1,65;2015;aout
2015-09;1,66;1,66;2015;sept
2015-10;1,83;1,83;2015;oct
2015-11;1,53;1,53;2015;nov
2015-12;1,74;1,74;2015;dec
2016-01;1,63;1,63;2016;janv
2016-02;1,66;1,66;2016;fev
2016-03;1,77;1,77;2016;mars
2016-04;1,65;1,65;2016;avril
2016-05;1,65;1,65;2016;mai
2016-06;1,56;1,56;2016;juin
2016-07;1,34;1,34;2016;juill
2016-08;1,52;1,52;2016;aout
2016-09;1,61;1,61;2016;sept
2016-10;1,82;1,82;2016;oct
2016-11;1,59;1,59;2016;nov
2016-12;1,43;1,43;2016;dec
2017-01;1,29;1,29;2017;janv
2017-02;1,33;1,33;2017;fev
2017-03;1,79;1,79;2017;mars
2017-04;1,54;1,54;2017;avril
2017-05;1,34;1,34;2017;mai
2017-06;1,341;1,34;2017;juin
2017-07;1,215;1,22;2017;juill
2017-08;1,285;1,29;2017;aout
2017-09;1,201;1,20;2017;sept
2017-10;1,399;1,40;2017;oct
2017-11;1,09;1,09;2017;nov
2017-12;1,193;1,19;2017;dec
2018-01;1,29;1,29;2018;janv
2018-02;1,20;1,20;2018;fev
2018-03;1,42;1,42;2018;mars
2018-04;1,43;1,43;2018;avril
2018-05;1,26;1,26;2018;mai
2018-06;1,10;1,10;2018;juin
2018-07;1,56;1,56;2018;juill
2018-08;1,42;1,42;2018;aout
2018-09;1,21;1,21;2018;sept
2018-10;1,16;1,16;2018;oct
2018-11;0,96;0,96;2018;nov
2018-12;1,11;1,11;2018;dec
2019-01;0,89;0,89;2019;janv
2019-02;0,88;0,88;2019;févr
2019-03;1,20;1,20;2019;mars
2019-04;1,02;1,02;2019;avril
2019-05;1,21;1,21;2019;mai
2019-06;1,40;1,40;2019;juin
2019-07;1,34;1,34;2019;juill
2019-08;0,85;0,85;2019;aout
2019-09;0,81;0,81;2019;sept
2019-10;1,11;1,11;2019;oct
2019-11;1,16;1,16;2019;nov
2019-12;1,45;1,45;2019;dec
