num_source;nom_source;situation;gouvernorat;Altitude;Temperature;Debit;pH;residu_sec;durete_total;calcium;Magnesium;Sodium;Potassium;Bicarbonate;Sulfate;Chlorure;Fluorures;Nitrate;sulfure;Element_en_traces;Classification;maladies_metaboliques;rhumatologie;dermatologie;digestif;gynecologie;respiratoires;appareil_urinaire;phlebologie;remise_forme;systeme_nerveux;station_thermale;bain_thermal;um_bouteille;autres;indications;technique_cure
1;Aîn El-Hammam;"Aïn El-Hammam se trouve à 3 km au Nord Ouest de la station de chemin de fer de Sidi Nsir, sur la route de Bizerte-Béja et à 95 km au Nord-Ouest de Tunis en passant par Mateur.
Altitude : 300 mètres";BIZERTE;300;23;2.50 l/s;7.6;378;25;86.86;8.21;36.37;1.79;254.66;33.15;72.78;0.20;4.69;;"Co; Al; Sr; Fe; Zn; Se; As ;Cu";Eau bicarbonatée calcique à faible minéralisation;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;Maladies de'appareil urinaire, affections uro-néphrologiques : lithiase rénale, infections urinaires récidivantes, pyelonéphrite chronique, malformations urologiques, cure de diurèse après lithotriptieMaladies métaboliques : obésité, goutte;
2;HAMMAM SIDI BEN ABBES;"La source faisant parti du groupe Ichkeul se trouve à 60 km au Nord-Ouest de Tunis. On peut y accéder par Menzel Bourguiba ou par Mateur. 
Altitude : 1mètre";BIZERTE;1;42;faible;6.70;13900;360;1240.00;121.60;3160.00;74.00;366.00;2200.50;5573.50;1.00;traces;;non déterminés;Eau thermale, de nature chlorurée sodique forte, sulfatée calcique, magnésienne.;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;"Rhumatologie et séquelles des traumatismes ostéo- articulaires : Affections dégénératives articulaires : arthrose vertébrale ; hyperostose vértébrale ; atteintes dégénératives périphériques (coxarthrose, gonarthrose) ; affections articulaires : tendinites et bursites ; rhumatisme inflammatoire : polyarthrite rhumatoïde, spondylarthrite ankylosante, rhumatisme psoriasique.  Ostéopaties : ostéoporose, ostéopathies endocrinniennes, maladies de Paget. Algodysthrophie et séquelles ostéoarticulaires post-traumatiques. Retard de consolidation, cals hypertrophiés, toutes les suites d'entorse et de luxations, séquelles musculaires : atrophie, contractures. Névralgie cervico-brachiale, cruralgie, lombo-sciatalgie. Dermatologie : Eczéma, dermatites, dermatoses, séquelles de brûlures, psoriasis, dermites allergiques, lichen, prurits. </P><P>&#8250; Gynécologie : Séquelles inflamatoires des métrites et des salpingites, endométriose, douleurs pelviennes, dysménorrhée, vulvo-vaginites à répétition, séquelles post-opératoires.";Bains Thermaux
3;HAMMAM SIDI ABDELKADER;"La source se trouve à 60 km au Nord-Ouest de Tunis. On peut y accéder par Menzel Bourguiba ou par Mateur. 
Altitude : 1mètre";BIZERTE;1;43;faible;6.70;13930;355;1120.00;182.40;3000.00;78.00;353.00;2253.36;5502.50;1.00;traces;;"Si; Sr; Ba; B; Li; Fe; Zn; Cu; Mo";Eau thermale, de nature chlorurée sodique forte et sulfatée calcique, magnésienne.;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;"Rhumatologie et séquelles des traumatismes ostéo- articulaire : Rhumatismes dégénératifs : arthrose vertébrale, hyperostose vértébrale, coxarthrose, gonarthrose ; affections articulaires : tendinites et bursites ; rhumatismes inflammatoires : polyarthrite rhumatoïde, spondylarthrite ankylosante, rhumatisme psoriasique.Ostéopaties : ostéoporose, ostéopathies endocrinniennes, maladies de Paget. Algodysthrophie et séquelles ostéoarticulaires post-traumatiques. Retard de consolidation, cals hypertrophiés, toutes les suites d'entorse et de luxations, séquelles musculaires : atrophie,contractures. Névralgie cervico-brachiale, cruralgie, lombo-sciatalgie. Dermatologie : Eczéma, dermatites, dermatoses, séquelles de brûlures, psoriasis, dermites allergiques, prurits, lichen . Gynécologie: Séquelles inflammatoires des métrites et des salpingites, endométriose, douleurs pelviennes, dysménorrhée, vulvo-vaginites à répétition , séquelles post-opératoires.";Bains Thermaux
4;HAMMAM ECHEFA;"La source de hammam Echfa se trouve à 60 km au Nord-Ouest de Tunis. On peut y accéder par Menzel Bourguiba ou par Mateur. 
Altitude : 1mètre

NB:L'eau thermale de cette source ne coule pas depuis un certain temps.";BIZERTE;1;42 (1996),19 °C (2001);non déterminé;7.10;14120;375;960.00;328.30;2650.00;69.00;378.20;2292.30;5413.70;1.00;traces;;non déterminés;Eau chlorurée sodique forte, sulfatée calcique et magnésienne.;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;"Rhumatologie : Arthroses des membres et vertébrales; affections rhumatismales abarticulaires, inflammatoires en dehors des pousées ; rhumatisme psoriasique ; séquelles des traumatismes ostéo- articulaire ; réeducation orthopédique post-opératoire. Ostéopaties : ostéoporose, ostéopathies endocrinniennes, maladies de Paget ; séquelles musculaires : atrophie, contractures.Névralgie cervico-brachiale, cruralgie, lombo-sciatalgie. Dermatologie : Dermatites, dermatoses, eczéma, séquelles de brûlures, psoriasis, dermites allergiques, prurits, lichen . Gynécologie: Séquelles inflammatoires des métrites et des salpingites, endométriose, douleurs pelviennes, dysménorrhée, vulvo-vaginites à répétition, séquelles post-opératoires.";Bains Thermaux
5;HAMMAM ENNEGREZ;"La source du hammam se trouve à 60 km au Nord-Ouest de Tunis. On peut y accéder par Menzel Bourguiba ou par Mateur. 
Altitude : 1mètre";BIZERTE;1;45;0. 3 /s;6.80;14120;500;900.00;668.80;2600.00;69.00;353.80;952.50;4686.00;1.55;traces;;non déterminés;Eau thermale type chlorurée sodique forte, sulfatée calcique, magnésienne;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;Rhumatologie : toutes les arthroses, spodylarthrite ankylosante, polyarthrite rhumatoïde, affection articulaires : tendinites et bursites, rhumatisme psoriasique. Ostéopaties : ostéoporose, stéopathies endocrinniennes, maladies de Paget . Algodysthrophie et séquelles ostéoarticulaires post-traumatiques. Retard de consolidation, cals hypertrophiés, toutes les suites d'entorse et de luxations, séquelles musculaires : atrophie, contractures.Névralgie cervico-brachiale, cruralgie, lombo-sciatalgie. Dermatologie : Eczéma, dermatites, dermatoses, séquelles de brûlures, psoriasis, dermites allergiques,lichen, prurits . Gynécologie: Séquelles inflammatoires des métrites et des salpingites, endométriose, douleurs pelviennes, dysménorrhée, vulvo-vaginites à répétition , séquelles post-opératoires.;Bains Thermaux
6;HAMMAM SIDI SALEM;"Hammam Sidi Salem se trouve à 15 km au Nord-Ouest de Mateur et à 6 km de Garaet El Ichkeul. La source émerge dans les alluvions actuelles de l'Oued
El Melah.
Altitude : 15 mètres";BIZERTE;15;31.5;0.11 l/s;6.30;5200;112.9;380.00;43.00;1583.00;29.30;958.00;70.00;2800.00;non déterminé;non déterminé;;non déterminés;Eau chlorurée-sodique, bicarbonatée-calcique.;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;Rhumatologie :  Arthrose dans toutes formes douloureuses et dans toutes ses localisations : coxarthrose, gonarthrose, rhizarthroze et polyarthrose. Traitement des rhumatismes inflammatoires en dehors de poussée évolutive : polyarthrite rhumatoïde, spondylarthrite ankylosante, rhumatisme psoriasique . Traitement des névralgies et radiculagies des membres : sciatiques, crurales et cervico-brachiales. Traitement des rhumatismes articulaires : périarthtrites scapulohumérales, pathologies tendineuses. Traitement des séquelles de traumatismes.;Bains Thermaux
7;HAMMAM UTIQUE;Hammam d'Utique se trouve à 30 km au Nord de Tunis sur la route GP 8 Tunis-Bizerte. La source débouche dans un marécage qui occupe l'extrémité nord des ruines punico-romaines.;BIZERTE;;38.5;1 l/s;7.30;800;23.9;54.00;25.00;215.00;16.70;348.00;60.00;270.00;;;;non déterminés;Eau thermale de type chlorurée sodique faible.;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;"Voies respiratoires ORL : rhinites chroniques, atrophiques et hypertrophiques, mucopurulentes ou allergiques ; rhinopharyngites chroniques ; sinusites chroniques ou à répétion, laryngites chroniques. Bronches : bronchites chroniques, trachéobronchites et trachéites , ashtme , dilatation bronchique . opératoires : tympanoplasties , rhinoplasties , amygdalectomies . Appareil urinaire : infections urinaires récidivantes, calcule rénale. Appareil digestif : -colites, troubles fonctionnels intestinaux : troubles du transits, colopathie fonctionnelle, intestin irritable.";Cure de boisson Bain général Bain nasal  Aérosol
8;HAMMAM EL ATROUS;"La source se trouve à 60 km au Nord-Ouest de Tunis. On peut y accéder par Menzel Bourguiba ou par Mateur. Il existe plusieurs émergences au pied du massif dans une zone de 20 m de large. 
Altitude : 1mètre";BIZERTE;1;51;non déterminé;6.70;13320;240;800.00;486.00;3020.00;78.00;439.20;2047.10;5484.70;1.75;traces;;non déterminés;Eau hyperthermale de type chlorurée sodique forte, calcique, magnésienne, riche en sulfates.;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;"Rhumatologie : Affections rhumatismales : dégénératives : les arthroses (coxarthrose, gonarthrose, arthroses vertébrales et toutes localisations articulaires arthrosiques) ; rhumatisme inflammatoire : polyarthrite rhumatoïde , spondylarthrite ankylosante, monoarthrites, séquelles de rhumatisme articulaire aigu, rhumatisme psoriasique ; tendinites et bursites ; ostéopaties : ostéoporose, ostéopathies endocrinniennes, maladies de Paget . séquelles traumatiques ; retard de consolidation, cals hypertrophiés, toutes les suites d'entorse et de luxations, séquelles musculaires : atrophie,contractures. névralgies : cervico-brachiales, cruralgies lombosciatiques. paralysies : séquelles d'hémiplégies, paraplégies, poliomyélites. Dermatologie : Eczéma, dermatites, dermatoses, séquelles de brûlures, dermites allergiques, psoriasis vulgaire, lichens, acné Gynécologie: Séquelles inflamatoires des métrites et des salpingites, endométriose, dysménorrhée, vulvo-vaginites à répétition, douleurs pelviennes, séquelles post-opératoires.";Bains Thermaux
9;AIN MELLITI;"Ain Melliti se trouve à 100 km au Sud-Ouest de Tunis et à 10 km au Nord-Ouest de Téboursouk, sur la route de Thibar. 
Altitude : 580 mètres";BEJA;580;18;3 l/s (source);7.0;422;26.25°F;92.53;7.30;30.24;0.82;260.77;26.76;53.96;0.50;32.15;;non déterminés;Eau minérale naturelle bicarbonatée calcique à faible minéralisation.;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;Maladies de l'appareil urinaires , affections rénales : lithiase rénale , infections urinaires récidivantes, pyelonéphrites chroniques , néphrites , insuffisances rénales compensées, protéinuries fonctionnelles , malformations urologiques, lithiases . Maladies métaboliques : obésité constitutionnelle de l'adulte et de l'enfant , excès pondéraux (grossesse période ménopausique), surcharges pondérales compliquées de troubles métaboliques (diabète, hyperlipidémie) , goutte . ;
10;AIN GOUSSA;"La source se trouve à Amdoun, gouvernorat de Béja au point d'eau appelé  Zahrat Medien proche de route de Ain Draham";BEJA;;17;faible;7.2;276;22;76.65;4.13;23.00;1.00;292.8;20.24;30.00;0.55;5.67;;non déterminés;Eau  bicarbonatée calcique, faiblement minéralisée.;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI; Une étude clinique est à réaliser en vue de déterminer les indications thérapeutiques;
