Gouvernorat;"Terrains gazones Realises (Naturel)";"Terrains gazones Realises (Artificiel)";"Terrains gazones Realises (Total)";"Terrains  En Cours d'execution (Naturel)";"Terrains  En Cours d'execution (Artificiel)";"Terrains  En Cours d'execution (Total)";"Terrains  En Cours d'etude (Naturel)";"Terrains  En Cours d'etude (Artificiel)";"Terrains  En Cours d'etude (Total)"
Tunis;19;16;35;0;0;0;0;6;6
District-Tunis;31;36;67;0;4;4;0;10;10
Nord-Est;6;27;33;2;5;7;0;3;3
Bja;3;5;8;0;2;2;0;3;3
Nord-Ouest;12;19;31;0;14;14;0;12;12
Sfax;4;16;20;0;0;0;0;4;4
Centre-Ouest;8;23;31;0;4;4;2;9;11
Sud-Est;7;28;35;0;2;2;0;2;2
Total;92;205;297;3;36;39;2;57;59
Ariana;1;2;3;0;2;2;0;1;1
Nabeul;3;10;13;0;1;1;0;2;2
Jendouba;6;4;10;0;4;4;0;2;2
Sousse;11;17;28;0;0;0;0;3;3
Centre-Est;25;54;79;1;5;6;0;12;12
Kairouan;4;11;15;0;2;2;0;1;1
Gabs;3;10;13;0;1;1;0;1;1
Gafsa;3;11;14;0;0;0;0;0;0
"Source: La direction de planification et d'valuation (Janvier 2019)";;;;;;;;;
"Ben Arous";11;10;21;0;2;2;0;1;1
Zaghouan;0;5;5;0;1;1;0;0;0
"Le Kef";2;6;8;0;6;6;0;3;3
Monastir;8;13;21;1;2;3;0;4;4
Kasserine;1;3;4;0;0;0;1;8;9
Mdnine;4;11;15;0;1;1;0;1;1
Tozeur;0;3;3;0;1;1;0;6;6
Kbili;0;4;4;0;1;1;0;3;3
Manouba;0;8;8;0;0;0;0;2;2
Bizerte;3;12;15;2;3;5;0;1;1
Siliana;1;4;5;0;2;2;0;4;4
Mahdia;2;8;10;0;3;3;0;1;1
"Sidi Bouzid";3;9;12;0;2;2;1;0;1
Tataouine;0;7;7;0;0;0;0;0;0
Sud-Ouest;3;18;21;0;2;2;0;9;9
